# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id
1036075at2
1151822at2
1166299at2
1346419at2
1398618at2
143460at2
1490892at2
1491686at2
1502854at2
1504821at2
1540940at2
1572673at2
1590629at2
1592033at2
1623045at2
1701531at2
1720952at2
1758685at2
182107at2
1827295at2
1827334at2
1830156at2
1842956at2
1846503at2
1874945at2
1904463at2
1937493at2
1949059at2
1959318at2
1971380at2
1990141at2
1990650at2
2040741at2
2075502at2
219876at2
226836at2
353391at2
384865at2
662686at2
776861at2
874197at2
932854at2
95696at2
984717at2
